PDB,dsx,glide,glideXP,rf_score,vina,MMGBSA,HMScore,HPScore,HSScore,average,Experimental
1yqj,-159.255,-11.08,-12.2,-9.8856575836,-12.38448,-107.7995912,-12.19909582,-11.39779621,-10.52741905,-11.37016519,-11.24582559
1g54,-88.449,-6.09,-5.42,-10.1734992824,-6.39968,-54.88404946,-8.109704698,-7.543268765,-7.391298149,-7.68142387,-12.18528031
1g53,-90.997,-6.69,-5.94,-9.7990213492,-6.76869,-57.03304534,-8.634694099,-7.805763465,-7.68142387,-8.040627145,-12.48922154
1g52,-89.464,-7.04,-5.94,-10.281793083,-6.8083,-61.65414007,-8.634694099,-7.999180613,-7.778132444,-8.137335719,-13.17999707
1yqy,-135.444,-5.81,-5.05,-8.9372495811,-8.41868,-49.84476831,-9.17349901,-9.145867989,-9.187314521,-9.17349901,-10.52741905
1kc7,-40.323,-6.53,-5.19,-5.0312809027,-2.9348,12.79998816,-7.087356916,-6.424212409,-6.43802792,-6.645260578,-7.626161828
1d7i,-26.794,-5.37,-2.71,-7.8615405426,-1.72013,-38.57807645,-5.843960966,-5.774883413,-5.553835244,-5.733436882,-4.973583801
1ogg,-149.205,-10.62,-14.98,-8.7326529019,-8.48887,-131.6104792,-9.1596835,-9.132052479,-9.132052479,-9.145867989,-7.17024998
1pgp,-77.592,-7.49,-13.57,-6.3657193336,-5.6944,-54.39556897,-7.446560191,-7.045910385,-6.866308747,-7.114987937,-7.874841018
1yc1,-122.24,-10.13,-10.83,-8.9500303641,-10.65986,-91.43935894,-10.03006067,-9.712303922,-9.435993711,-9.726119433,-8.524170014
1a9m,-207.676,-11.46,-5.93,-9.3709926043,-8.26766,-149.6969505,-10.62412762,-10.5964966,-10.7346517,-10.65175864,-9.560333306
1hii,-228.709,-12.92,-13,-9.5916531573,-9.93818,-158.1897536,-12.66882318,-11.54976683,-11.71555295,-11.97804765,-10.05769169
1yc4,-89.558,-8.89,-8.74,-9.7423831159,-7.95153,-69.42180112,-8.759033694,-8.399830419,-8.151151229,-8.441276951,-9.049159416
1hn2,-91.673,-8.06,-6.88,-8.3656537934,-9.67598,-58.75110476,-9.491255753,-9.380731669,-8.579432057,-9.145867989,-8.289306335
2er6,-254.155,-13.3,-17.68,-11.0234960979,-9.11891,-161.4374588,-13.26289014,-12.33725093,-11.56358234,-12.39251297,-9.974798623
