PDB,dsx,glide,rf_score,vina,HMScore,Experimental
1yqj,-159.255,-11.08,-9.8856575836,-12.38448,-12.19909582,-11.24582559
1g54,-88.449,-6.09,-10.1734992824,-6.39968,-8.109704698,-12.18528031
1g53,-90.997,-6.69,-9.7990213492,-6.76869,-8.634694099,-12.48922154
1g52,-89.464,-7.04,-10.281793083,-6.8083,-8.634694099,-13.17999707
1yqy,-135.444,-5.81,-8.9372495811,-8.41868,-9.17349901,-10.52741905
1kc7,-40.323,-6.53,-5.0312809027,-2.9348,-7.087356916,-7.626161828
1d7i,-26.794,-5.37,-7.8615405426,-1.72013,-5.843960966,-4.973583801
1ogg,-149.205,-10.62,-8.7326529019,-8.48887,-9.1596835,-7.17024998
1pgp,-77.592,-7.49,-6.3657193336,-5.6944,-7.446560191,-7.874841018
1yc1,-122.24,-10.13,-8.9500303641,-10.65986,-10.03006067,-8.524170014
1a9m,-207.676,-11.46,-9.3709926043,-8.26766,-10.62412762,-9.560333306
1hii,-228.709,-12.92,-9.5916531573,-9.93818,-12.66882318,-10.05769169
1yc4,-89.558,-8.89,-9.7423831159,-7.95153,-8.759033694,-9.049159416
1hn2,-91.673,-8.06,-8.3656537934,-9.67598,-9.491255753,-8.289306335
2er6,-254.155,-13.3,-11.0234960979,-9.11891,-13.26289014,-9.974798623
1ez9,-132.535,-8.18,-7.8852026517,-5.80204,-7.722870402,-7.045910385
2aoc,-245.526,-14.37,-9.480086707,-8.13689,-12.0333097,-6.755784663
2hu6,-148.861,-8.21,-9.5925719264,-9.23191,-9.353100648,-5.263709523
2aog,-258.137,-15.24,-8.8671050636,-8.62212,-12.64119216,-8.67614063
1j14,-70.448,-8.26,-6.3480562496,-5.33278,-7.004463853,-6.203164241
1ik4,-71.297,-7.42,-7.5003667422,-4.88529,-7.349851617,-10.23729332
2ca8,-106.314,-7.58,-8.9550618434,-5.69893,-7.612346317,-6.43802792
1str,-147.168,-11.62,-9.6434263295,-6.99784,-9.463624732,-6.589998536
1sts,-183.896,-11.71,-9.6913350587,-7.84696,-10.40307945,-6.907755279
1qhc,-191.533,-11.61,-8.6426768939,-8.74689,-9.284023095,-10.45834149
1f9g,-26.399,-4.31,-5.5289624088,-4.57793,-6.424212409,-1.768385351
1w4o,-107.969,-10.37,-5.5536881212,-6.59618,-8.040627145,-7.211696511
1v2r,-131.651,-9.81,-9.7779543001,-7.14249,-8.330752866,-4.904506248
1vyf,-114.357,-6.57,-9.618840349,-6.04276,-9.132052479,-11.121486
1vyg,-140.744,-10.7,-9.8004369219,-6.91459,-9.615595348,-11.05240845
1upf,-36.443,-7.11,-7.050302411,-4.60898,-6.382765878,-6.355134857
1caq,-200.977,-7.16,-10.2511387676,-10.29883,-11.37016519,-10.66557415
1o36,-126.96,-8.51,-10.209448792,-0.68022,-9.17349901,-8.234044293
1i9m,-82.291,-6.04,-10.3448212842,-5.75682,-8.689956141,-11.71555295
1i9l,-83.979,-6.41,-9.6913064185,-6.10313,-8.634694099,-11.71555295
1i9o,-85.219,-6.05,-9.913777585,-6.4304,-8.358383888,-11.63265989
1i9n,-80.292,-5.74,-9.4307372652,-6.08423,-8.455092461,-11.96423214
1i9q,-86.069,-5.88,-10.0778116747,-6.33173,-8.372199398,-11.61884438
1i9p,-78.118,-5.2,-9.6884935806,-5.67722,-8.206413271,-11.61884438
1wm1,-82.526,-6.64,-9.3048562025,-7.14026,-8.67614063,-8.703771652
1hnn,-73.632,-8.2,-9.6877698781,-8.33933,-8.192597761,-8.620878588
1hi5,-70.847,-6.45,-7.0483594141,-4.7733,-7.073541406,-5.581466265
1a94,-284.139,-14.84,-9.3151311282,-8.85884,-13.11091952,-10.84517579
1ikt,-151.875,-8.29,-9.6667740853,-7.35595,-9.781381475,-4.69727359
1c70,-248.114,-13.64,-12.4006504028,-11.95572,-13.64972443,-14.22997587
2mas,-97.357,-7.46,-8.9712270685,-9.6755,-9.132052479,-10.38926394
2h4n,-46.581,-5.27,-10.452635226,-4.9816,-7.225512022,-12.01949419
1oe8,-103.435,-8.52,-9.1209471786,-5.49231,-7.377482638,-7.626161828
1mq5,-171.826,-7.15,-9.4876259582,-9.77615,-10.37544843,-12.4339595
1m5w,-53.301,-6.88,-7.3482381447,-5.15874,-7.059725895,-5.899223008
1wvj,-111.147,-8.95,-9.4155167125,-9.84232,-8.938635331,-9.297838606
1gah,-191.637,-9.91,-8.1951759873,-9.14877,-10.61031211,-16.57861267
1t32,-173.958,-11.37,-10.3411599765,-11.13533,-12.93131788,-10.25110883
1ui0,-57.519,-8.35,-6.6127289753,-5.16625,-6.769600173,-9.753750454
1t31,-158.864,-11.51,-10.3633902076,-10.00975,-12.32343542,-11.93660112
1tng,-68.681,-6.79,-5.6409335075,-3.91466,-6.631445068,-4.047944594
1tnl,-73.137,-6.05,-6.3220995348,-4.29886,-7.073541406,-2.597315985
1tnk,-72.258,-6.01,-6.3429861526,-3.83896,-6.589998536,-2.058511073
1igj,-140.235,-7.76,-8.8395462433,-9.64407,-11.19056355,-13.81551056
1c87,-100.165,-10.68,-7.3801631574,-7.17452,-8.192597761,-5.802514434
1gu1,-80.711,-9.57,-5.5626016362,-7.56662,-8.289306335,-6.244610772
1utn,-64.895,-7.14,-5.9152461274,-3.99863,-6.68670711,-4.821613185
1gi8,-99.366,-10.52,-9.1504685428,-7.53127,-8.206413271,-6.976832832
2cht,-98.074,-9.32,-6.6203207221,-8.25254,-8.42746144,-7.626161828
2f35,-110.125,-8.04,-8.9987235509,-7.6527,-9.062974926,-7.460375701
1utl,-63.674,-5.9,-6.5941993059,-3.85647,-6.368950367,-3.412431108
1a7x,-230.358,-13.68,-11.6064893303,-12.49152,-13.44249177,-13.40104524
1utm,-63.855,-7.21,-6.2827832701,-4.14114,-6.589998536,-4.158468678
1fm9,-223.28,-15.5,-10.5718266355,-12.95665,-14.49247058,-12.4339595
5abp,-64.124,-7.32,-6.6067187007,-7.15423,-7.722870402,-9.173499011
1b8n,-117.787,-10.24,-10.0818142255,-9.70761,-9.021528394,-14.53391711
1qan,-170.768,-10.5,-8.8923534913,-9.03703,-9.270207584,-6.18934873
1qft,-58.342,-7.12,-7.4808111019,-4.12009,-6.479474452,-12.11620276
1o2h,-123.646,-8.62,-7.2304683673,-8.66576,-8.91100431,-9.90572107
1b8y,-171.869,-7.72,-9.86203136,-8.57463,-10.00242964,-10.84517579
1sqt,-120.111,-8.38,-9.2760031911,-7.82314,-7.985365103,-8.565616546
2fw6,-83.914,-8.47,-5.2835427526,-5.65125,-7.474191212,-4.034129083
1ws5,-65.861,-5.98,-6.2113967966,-4.93889,-6.700522621,-4.186099699
1eld,-150.171,-8.12,-9.750514082,-8.56542,-10.27873986,-9.256392074
1ele,-146.506,-7.89,-9.5474937728,-8.28229,-10.15440026,-9.463624732
1elc,-142.417,-5.67,-10.8948614297,-6.29892,-8.689956141,-9.201130032
5yas,-45.789,-7.09,-5.7360722231,-5.34225,-6.741969152,-4.503856442
1ws4,-68.134,-5.83,-5.9572862688,-4.90354,-6.6728916,-4.144653167
2dw7,-50.575,-5.48,-5.8440364397,-4.39668,-7.045910385,-6.493289962
1br6,-103.597,-8.69,-8.9567947361,-7.73005,-9.325469627,-4.4485944
1tx7,-83.391,-9.5,-6.7299466387,-5.91928,-7.529453254,-6.355134857
1sqo,-119.186,-8.31,-9.951821016,-7.46956,-8.192597761,-10.30637088
1elr,-125.799,-10.36,-8.2653483645,-5.42584,-7.985365103,-6.852493237
2fpz,-57.25,-5.93,-6.7954885981,-6.79475,-7.114987937,-5.470942181
1n3i,-117.24,-11.58,-9.6501582218,-9.45035,-8.607063078,-12.28198889
1hmr,-112.796,-6.73,-9.8893516411,-5.41592,-8.91100431,-9.049159416
1hms,-118.634,-6.71,-9.8551631476,-5.72722,-8.952450842,-8.800480225
1hmt,-117.999,-6.58,-9.9165291461,-5.7128,-9.353100648,-7.999180613
1g1d,-87.242,-6.54,-9.806999346,-6.56698,-8.772849204,-13.04184197
1fjs,-166.379,-9.77,-11.4620810208,-8.84758,-9.698488412,-13.76024852
1ppc,-141.644,-9.97,-10.8381493787,-8.59411,-10.77609824,-8.510354504
1ce5,-69.773,-8.93,-6.3339542974,-5.5069,-7.045910385,-6.548552005
1v1j,-86.136,-9.6,-5.5449191061,-8.02237,-8.16496674,-6.659076089
1o3d,-119.013,-9.27,-8.9461061206,-9.03771,-8.993897373,-9.850459028
