ID,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
1yqj,1,272,0,1,0,11,21,50,0,1,0,5,1,10,109,122,-11.24582559
1mhw,13,337,5,2,0,8,93,29,0,1,0,21,0,21,38,190,-10.15440026
1r5y,10,230,4,0,10,13,18,22,0,1,0,2,0,49,95,55,-8.92481982
1g54,9,230,3,1,1,0,20,13,0,0,1,5,0,43,44,131,-12.18528031
1g53,8,221,3,1,0,0,19,17,0,0,0,5,0,25,46,139,-12.48922154
1g52,8,232,3,1,0,0,20,24,0,0,0,5,0,25,58,137,-13.17999707
1v48,15,331,2,7,0,32,5,16,0,2,0,7,2,0,108,201,-10.77609824
1yqy,12,256,3,3,4,19,12,22,1,1,0,6,2,80,19,134,-10.52741905
1kc7,10,158,0,8,13,9,3,8,0,0,0,3,4,44,82,17,-7.626161828
1d7i,3,63,0,1,0,0,6,8,0,0,0,2,0,13,15,32,-4.973583801
1ogg,10,279,3,4,8,0,15,23,0,0,0,16,0,10,149,107,-7.17024998
1pgp,19,265,1,12,1,2,8,3,0,0,0,11,5,139,15,119,-7.874841018
1yc1,15,291,2,2,15,11,0,28,0,0,0,6,2,163,98,19,-8.524170014
2j2u,3,195,0,1,0,37,30,37,0,0,0,5,0,0,65,66,-10.12676924
1a9m,20,440,5,4,0,27,44,37,0,0,0,20,0,0,167,222,-9.560333306
1hii,7,336,4,4,0,19,47,42,0,0,0,16,2,0,104,173,-10.05769169
1yc4,7,237,2,1,15,7,0,28,0,0,0,5,0,115,100,7,-9.049159416
1pu8,3,149,2,1,1,0,2,29,0,4,2,0,0,83,0,66,-4.282808273
1hn2,1,156,0,0,0,3,0,19,1,2,4,1,0,0,140,14,-8.289306335
2er6,25,458,9,3,0,27,69,42,0,0,0,30,3,17,150,220,-9.974798623
1ez9,12,225,6,2,0,0,3,37,0,0,0,29,0,64,24,146,-7.045910385
2aoc,23,471,8,4,0,43,51,35,0,0,0,30,2,0,162,238,-6.755784663
2hu6,3,192,1,2,3,6,43,31,1,1,0,5,0,50,23,70,-5.263709523
2aog,26,474,9,5,0,52,69,29,0,0,0,30,2,0,188,191,-8.67614063
1j14,8,167,4,0,0,9,60,18,0,0,0,2,0,0,29,77,-6.203164241
1ik4,19,235,1,10,10,10,13,2,0,0,0,4,3,98,79,44,-10.23729332
830c,9,235,2,1,11,19,26,30,2,0,0,7,1,88,40,60,-12.8207938
2ca8,17,229,3,7,7,18,7,14,0,0,0,11,4,21,40,153,-6.43802792
1mh5,8,288,1,5,0,0,11,60,0,1,0,14,2,0,225,60,-12.72408522
1str,14,356,2,7,0,10,1,27,0,0,1,22,0,0,250,109,-6.589998536
1sts,17,470,6,5,0,4,24,42,0,0,1,26,0,0,282,177,-6.907755279
