ID,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
1ajp,7,84,0,4,0,16,0,21,0,1,0,2,0,4,40,31,-3.08
1ajq,6,68,0,4,0,16,0,16,0,0,0,2,0,3,33,22,-5.95
2g5u,2,37,0,1,0,10,0,9,0,0,0,3,0,0,29,0,-11.73
1ndy,7,119,2,2,0,4,10,30,1,0,0,7,0,16,16,80,-8.52
1ha2,1,67,0,0,15,0,0,36,0,0,0,5,0,53,0,0,-7.65
1ndz,9,185,3,2,11,20,9,59,1,3,1,11,3,35,22,97,-11.2
1ndw,10,111,2,2,2,4,0,28,1,1,2,7,0,39,11,65,-7.23
2f80,11,169,3,6,0,19,46,27,0,0,0,14,0,0,61,54,-11.3
1E+066,0,110,1,0,0,0,11,55,0,5,0,2,0,39,0,60,-13.66
1sl3,3,168,2,1,0,54,29,36,0,1,0,10,0,0,25,63,-16.37
2f01,9,129,2,6,0,0,9,27,0,0,0,5,0,0,109,20,-17.96
4tln,9,102,3,1,0,13,0,8,0,0,0,5,3,54,2,42,-5.14
1d7j,3,43,1,2,0,0,3,10,0,0,0,3,0,6,12,25,-4.56
1zoe,0,52,0,0,0,16,0,10,0,0,0,1,0,0,31,5,-10.22
1sv3,1,40,0,1,0,0,11,19,0,0,0,2,0,10,0,20,-6.55
6rnt,13,140,2,9,0,0,15,8,1,2,0,7,3,0,69,69,-3.27
2i0d,6,157,2,6,0,17,38,25,1,0,0,15,0,0,41,67,-16.72
2aov,4,117,4,0,2,0,5,32,0,1,2,3,0,63,1,50,-9.73
2aou,1,117,2,0,3,0,4,49,1,4,2,7,0,80,1,30,-10.68
1g7q,20,320,5,9,8,0,0,24,0,0,0,24,1,291,40,1,-8.37
2er9,19,249,6,4,0,16,53,41,0,0,0,34,0,0,57,142,-10.22
1u2y,8,87,3,2,0,0,20,4,0,0,0,6,0,9,30,36,-2.4
2j78,15,156,5,5,0,0,0,10,0,0,0,6,0,0,72,99,-8.87
1slg,8,160,1,5,0,7,0,21,1,0,1,26,0,0,153,8,-5.39
1ai5,5,74,0,2,0,12,0,22,0,1,0,3,0,0,31,36,-5.14
2g8r,3,75,0,2,0,16,8,11,0,0,0,6,1,3,24,27,-5.51
1b9j,21,258,7,5,2,46,23,31,0,0,0,18,1,32,124,52,-8.23
1a1b,11,165,1,11,0,20,13,22,2,0,0,19,2,52,62,29,-8.84
8cpa,13,188,1,7,0,6,0,27,0,1,0,12,9,4,29,162,-12.64
1a69,8,170,2,4,0,27,11,14,0,2,0,5,0,45,51,44,-7.32
2qwb,9,153,2,6,0,1,1,6,0,0,0,10,3,0,99,61,-3.79
2b7d,10,203,7,2,0,18,70,28,0,0,0,12,1,0,15,110,-12.02
1tmn,7,126,4,0,0,7,12,21,0,0,0,19,6,39,9,66,-10.09
2brm,4,90,1,1,0,22,7,27,0,0,0,6,0,0,56,9,-8.14
3pcj,1,64,0,3,0,3,0,15,0,0,0,2,0,0,42,20,-9.97
2qwd,8,163,2,6,0,1,7,6,0,0,0,9,5,0,93,70,-6.7
2qwe,15,203,5,4,0,23,10,10,0,0,0,13,11,0,101,84,-10.33
1ttm,3,80,1,2,0,0,8,10,0,0,0,3,0,5,37,33,-10.15
2brb,1,77,0,2,0,18,4,24,0,0,0,6,0,0,43,13,-6.71
3std,5,124,2,2,6,0,0,58,1,1,2,6,0,43,41,39,-15.35
1hfs,8,172,2,3,2,10,51,50,1,2,4,18,4,41,33,43,-12.02
2fai,4,66,2,1,10,0,0,21,0,0,1,4,0,52,0,8,-8.62
1nny,21,243,3,13,14,0,33,27,0,0,0,17,4,97,10,110,-10.58
1hi4,17,172,1,10,0,8,7,17,2,2,0,8,3,43,58,73,-6.2
1df8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-13.4
1s39,6,108,3,0,2,8,5,27,0,2,0,1,0,25,43,31,-10.64
1nc1,7,148,3,3,0,18,23,34,1,2,0,6,1,26,35,53,-8.46
1loq,15,155,2,8,0,11,10,10,0,0,0,6,1,0,48,101,-5.11
2d3z,5,81,0,3,4,0,14,29,0,0,0,5,0,41,0,27,-9.17
1tyr,1,30,0,0,0,8,0,14,0,0,0,5,1,0,23,0,-9.67
1mq6,2,146,1,0,0,8,62,37,0,1,2,8,0,0,19,59,-15.4
1u1b,10,209,3,5,1,23,5,18,0,1,0,16,8,38,74,78,-10.78
2d3u,4,76,0,2,3,0,15,31,0,2,0,5,0,39,0,23,-9.56
1g7f,19,174,3,11,10,3,22,25,0,0,1,16,2,42,15,101,-7.56
1fki,2,99,0,2,0,0,6,34,0,0,0,0,0,14,40,41,-9.67
1ftm,13,184,4,8,6,25,2,18,1,0,0,5,2,54,87,23,-10.51
1flr,5,157,1,3,0,7,15,41,0,6,0,3,0,0,87,53,-13.82
1u33,11,179,5,3,0,0,20,14,0,0,0,18,0,27,53,90,-6.36
2d1o,12,170,5,2,5,24,67,27,0,0,0,20,1,33,19,34,-10.64
1uwt,12,157,4,5,0,0,0,11,0,0,0,6,0,0,65,104,-8.25
1b7h,23,285,9,6,3,47,33,21,2,0,0,19,3,47,109,69,-11.08
1apw,13,161,5,4,0,3,38,17,0,0,0,15,0,0,53,80,-11.05
1fd0,7,143,0,3,27,6,5,59,0,0,1,4,1,84,10,18,-11.61
1o3p,9,163,3,0,0,53,26,25,0,0,0,6,0,10,59,24,-9.2
1gpk,4,84,0,3,2,0,28,22,0,0,0,1,0,12,2,44,-7.42
1dhi,11,168,2,4,9,39,0,21,0,0,0,11,4,56,44,31,-10.03
4tmn,10,186,3,5,0,16,0,29,0,2,0,14,5,81,46,53,-14.05
1rnt,14,189,3,8,0,5,29,15,0,2,1,7,2,0,91,78,-7.17
1zvx,9,126,1,3,3,13,27,29,1,2,0,7,5,55,11,26,-12.74
1bma,3,76,1,2,0,30,9,8,0,0,0,11,0,0,11,29,-6.34
1o0h,12,191,1,8,0,8,6,17,1,1,0,9,5,61,58,70,-8.18
2fdp,13,227,5,4,0,7,65,45,0,0,1,15,2,0,64,104,-10.49
1b8o,16,199,6,3,1,33,7,20,0,0,1,5,1,15,43,116,-14.7
1if7,8,113,1,2,2,0,15,16,1,0,1,7,0,5,38,61,-14.53
2flb,7,157,4,1,0,11,60,24,1,0,1,5,0,0,8,85,-7.93
1re8,12,197,3,3,0,31,24,54,1,1,1,9,2,6,71,77,-13.15
1vfn,4,94,3,1,0,37,0,12,0,0,0,0,0,0,22,39,-7.74
2b1v,4,69,2,1,11,0,0,21,0,0,1,4,0,57,0,5,-7.93
1olu,8,142,1,4,0,4,46,16,0,0,0,12,3,1,34,65,-6.09
2h3e,22,197,2,15,19,0,14,6,0,0,0,7,3,71,42,73,-7.87
2rkm,13,197,4,2,2,21,30,19,0,0,0,14,3,40,58,59,-5.39
1om1,3,83,0,3,0,11,7,35,0,0,0,2,1,0,59,9,-9.35
1ols,11,174,2,7,0,4,49,22,0,0,0,12,5,0,33,99,-8.04
1d09,14,169,0,14,19,0,10,6,0,0,0,7,6,63,38,53,-10.46
1q7a,2,86,0,1,0,0,23,30,1,2,1,6,0,17,0,48,-9.93
1elb,3,92,1,0,0,6,16,15,0,0,0,14,0,0,13,60,-9.88
1ela,6,146,4,1,0,0,70,13,0,0,0,11,1,0,3,79,-8.79
1x1z,16,170,3,8,0,11,10,12,0,0,0,7,1,0,54,111,-15.28
1sqa,13,180,6,0,0,14,66,15,1,0,1,8,1,0,5,108,-12.72
2cer,15,156,5,4,0,2,0,19,0,1,0,8,0,1,55,113,-12.74
1k9s,11,183,3,0,0,45,6,20,0,1,0,6,0,22,28,93,-9.01
2ceq,14,155,4,5,0,0,0,20,0,1,1,5,0,0,81,88,-10.06
4tim,8,119,0,7,0,18,23,5,0,0,0,5,3,12,18,56,-2.98
2cet,13,152,5,3,0,0,0,28,0,1,1,8,0,1,62,102,-11.08
5er1,11,156,4,2,0,15,32,37,0,0,0,19,5,0,61,59,-8.32
1ppm,12,186,2,6,0,4,42,26,0,0,0,17,0,0,46,106,-8.01
2usn,3,95,2,3,0,25,5,24,0,2,0,8,0,17,33,18,-8.99
1kv5,10,108,0,9,0,14,22,5,0,0,0,3,3,1,31,50,-5.83
1y6q,7,150,5,1,0,23,20,26,0,2,0,6,2,21,37,56,-16.16
1jqd,11,153,3,3,7,7,40,17,0,0,0,11,1,47,26,37,-7.13
1kv1,4,92,3,1,0,3,16,23,0,0,0,3,0,26,36,15,-8.21
1hk4,9,131,2,2,35,0,0,16,0,1,0,7,4,101,0,4,-7.34
1pr5,6,154,3,1,0,33,5,23,0,0,0,6,0,10,36,76,-5.42
2bok,4,138,3,1,0,31,34,35,4,0,0,7,0,0,19,58,-9.05
1o3f,8,171,4,0,0,13,69,30,1,0,1,5,0,0,11,86,-11
1gni,3,68,0,3,6,0,0,39,0,0,0,15,2,48,0,17,-11.15
1ydt,3,126,1,1,0,9,39,34,1,0,0,8,2,0,32,49,-10.11
1fzk,24,337,6,9,1,1,0,59,1,1,0,25,0,281,75,3,-11.61
1jys,2,64,1,1,0,16,18,10,0,0,0,1,0,1,12,19,-4.86
2drc,11,183,2,5,3,41,0,26,0,0,0,11,3,73,46,31,-13.66
1y1m,9,110,3,4,0,19,0,17,1,0,0,2,2,30,57,13,-2.51
1bra,4,91,4,0,0,7,45,8,0,0,0,2,0,0,10,33,-2.51
1fcx,6,118,0,3,24,6,5,47,0,0,1,4,1,62,10,17,-9.93
1fcz,7,108,0,3,19,6,5,52,0,0,1,4,1,61,9,15,-12.74
2g94,13,211,4,9,0,23,66,37,0,0,0,20,0,0,44,91,-13.15
1f5k,6,97,4,0,0,24,36,13,0,0,0,2,0,0,2,41,-5.17
2hdq,4,62,0,5,0,3,6,18,0,1,0,1,2,0,24,33,-1.93
1pxo,4,82,3,2,0,6,18,18,0,0,0,3,0,0,42,20,-12.02
10gs,18,188,3,7,5,19,6,28,0,1,0,14,3,70,39,67,-8.84
1e5a,0,14,0,1,0,0,0,2,0,0,0,1,0,0,14,0,-10.56
1bcu,0,110,1,0,0,25,26,24,0,0,0,2,0,0,21,38,-4.53
2ayr,3,119,1,0,16,0,3,47,0,0,2,9,1,81,0,22,-12.83
3pch,5,68,1,3,0,0,1,13,0,0,0,2,1,0,42,30,-7.46
1utp,5,84,3,0,0,6,32,12,0,0,0,5,1,0,2,49,-1.99
1v16,10,146,1,8,0,5,38,20,0,0,0,9,4,0,28,85,-5.35
3pce,2,66,0,0,0,3,0,13,0,0,0,3,0,0,48,17,-2.76
1q8t,2,65,0,2,0,19,3,23,0,0,0,4,1,0,36,9,-6.58
1jaq,9,157,3,2,7,18,51,12,0,0,0,9,1,57,12,21,-6.19
1zs0,8,110,0,3,4,7,25,31,1,2,0,7,4,47,15,20,-8.5
1m2q,4,99,1,2,0,7,6,28,0,0,0,3,0,0,58,32,-8.43
1p1q,15,176,4,9,5,25,2,15,0,0,0,5,2,50,76,33,-6.76
1det,10,128,3,4,0,5,26,11,0,0,0,7,0,0,40,67,-5.94
2std,0,62,0,0,3,0,0,35,0,0,1,4,0,16,22,21,-13.61
1nja,11,134,2,7,11,14,3,5,0,0,0,7,1,3,71,43,-8.72
1jq9,8,157,3,0,43,0,33,23,0,0,0,24,1,54,0,35,-11.67
1nje,12,132,2,8,3,6,0,4,0,0,0,7,3,24,53,58,-5.25
1tsy,14,145,2,6,3,9,0,4,0,0,0,6,2,20,80,47,-6.85
1fkb,6,128,3,2,0,0,33,32,0,0,0,9,0,15,39,47,-13.4
1v2o,12,176,5,2,0,17,80,19,0,0,0,11,0,0,10,81,-6.53
4er2,18,220,5,4,0,23,53,26,0,0,0,30,2,2,70,90,-12.85
1fzj,18,344,10,8,18,0,0,57,0,0,1,32,1,256,87,1,-11.19
1pz5,9,213,2,4,0,6,43,37,1,0,0,30,2,0,103,70,-7.46
3gss,14,214,2,7,6,19,3,41,0,1,0,19,3,86,42,72,-8.04
1e1v,2,109,1,1,0,22,22,16,0,1,0,4,0,7,48,12,-6.8
2bzz,18,281,1,14,0,20,0,27,2,2,0,22,5,57,112,110,-8.88
1nfy,6,194,2,0,0,37,49,38,0,1,0,6,0,0,50,64,-12.28
1j16,3,114,3,0,0,10,50,14,0,0,0,2,0,0,14,43,-5.31
2cgr,9,183,1,3,0,0,35,39,0,1,2,6,1,0,136,21,-10.06
1is0,13,203,1,10,0,12,15,29,1,0,0,19,5,46,84,59,-9.67
2fzc,12,142,1,8,1,0,8,5,0,0,0,9,4,93,25,27,-3.73
2bak,3,146,0,2,0,12,15,51,1,0,0,10,2,19,60,43,-10.26
2baj,3,101,2,1,4,9,17,30,0,0,0,4,0,28,30,16,-11.61
1xd1,21,249,6,5,0,3,44,19,0,0,0,34,2,32,57,134,-10.94
1a30,9,150,4,4,0,10,34,14,0,0,0,14,1,0,50,65,-5.94
1xgj,8,134,0,4,6,33,12,15,0,0,2,6,1,45,7,39,-8.29
1b39,15,191,3,6,0,15,34,10,0,0,0,11,7,10,66,81,-9.56
1pb9,12,123,4,4,0,21,6,13,0,0,0,1,1,0,55,53,-5
