ID,Lig_Strain_Energy,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,2.5_contacts,4.0_contacts,H_B_ligand,H_B_receptor,backbone_alpha,backbone_beta,backbone_other,hydrophobic,pi-cation,pi-pi,pi-t,rotable_bonds,salt_bridge,sidechain_alpha,sidechain_beta,sidechain_other,Exp_energy
11gs,7.3623466,-18.14618188,0.335286515,-5.137970417,-52.77546858,-0.98361346,9.287081699,-60.17329938,15,341,9,20,3,8,19,0,1,0,32,19,4,106,70,132,-8.040627145
1a1c,6.74924108,-251.3993112,-0.478074331,-13.62066761,-19.80436687,-0.45810667,241.7495794,-29.5839384,13,257,0,27,1,11,16,2,0,0,28,15,2,57,126,44,-8.841926757
1a1e,5.59720963,-203.1155262,2.709977727,-13.6487394,-21.27503621,-0.478404218,195.1441215,-30.62036275,13,244,0,26,1,11,13,2,0,0,25,14,2,53,123,42,-8.289306335
1a4r,5.551765043,-3.559029667,4.667760131,-11.98093585,-10.23608521,-1.132885365,21.95545431,-46.71176829,21,350,25,2,3,10,29,0,0,2,13,10,1,185,8,122,-9.201130032
1a7x,6.850581989,-35.1575627,3.200465845,-1.767187595,-77.67762718,-0.092825926,26.71850158,-91.53876588,7,314,0,0,2,3,39,0,0,0,43,14,0,13,83,186,-13.40104524
1a94,18.8821803,-50.59377713,5.702289111,-7.842601795,-80.36086604,-0.794738865,60.86667055,-106.7118964,23,518,0,48,10,7,48,0,0,0,31,29,2,0,171,274,-10.84517579
1a99,1.079277157,-146.4452025,1.053022211,-2.409846708,-21.51039371,0,129.2997823,-20.70833232,7,177,0,8,5,0,13,3,0,0,23,5,2,18,106,39,-7.874841018
1a9m,12.30227939,-17.03083923,7.498946147,-5.344885516,-71.78497167,0,20.75451775,-83.78971798,20,440,0,27,5,4,44,0,0,0,37,20,0,0,167,222,-9.560333306
1aaq,9.467233211,-45.7387794,4.677061255,-4.29988643,-59.7866154,-0.609986845,41.25808888,-79.07269655,15,342,0,27,6,4,42,0,0,0,28,19,2,0,125,163,-11.60502887
1abf,9.248665252,-39.95282401,0.470809794,-5.269068369,-18.49345489,0,20.18318551,-20.40927617,14,198,0,0,4,4,1,0,0,0,13,4,0,60,4,147,-7.488006722
1add,6.677339141,-20.40923292,2.257583511,-7.949930349,-23.58522805,-1.970658435,63.48196844,-40.75553958,10,270,0,8,2,2,7,2,2,0,28,6,0,90,49,126,-9.311654116
1ado,1.294452365,-64.67108413,0.33523254,-6.659840658,-3.40051535,0,72.68296755,-14.51736904,10,105,0,8,0,8,20,0,0,0,1,5,0,4,25,58,-8.289306335
1af6,9.768397628,-47.47815917,2.91799287,-10.10410476,-22.81585884,0,36.70586768,-27.98220729,21,233,0,0,5,6,1,0,0,0,15,13,0,0,135,118,-2.514422922
1afk,7.532928154,-200.5340403,7.640714918,-20.22454051,-8.904992087,-3.001685198,190.8572578,-34.51622058,18,288,2,6,1,8,4,1,1,0,14,10,7,104,98,92,-9.145867989
1afl,10.6634621,-91.87403132,10.17747444,-13.67145488,-8.243520102,-1.089305125,90.14810622,-33.99168865,20,266,1,7,3,7,1,0,1,0,12,10,5,77,112,88,-8.67614063
1agm,17.85017501,-223.0631405,8.510721785,-7.10947549,-51.83144985,0,174.3569115,-53.91228123,26,351,0,0,10,3,54,0,0,0,26,22,1,53,38,232,-16.57861267
1ai4,0.606356487,-21.49771765,1.456841761,-2.323456786,-19.1308039,-0.336091601,28.83123088,-26.1196129,8,148,0,5,0,2,0,0,1,1,16,4,0,19,75,57,-3.45387764
1ai7,0.46982382,-2.550736648,0.274096751,-0.020556768,-17.69102645,-0.30353868,14.89041324,-21.04915352,4,118,0,15,0,0,0,0,0,0,22,1,0,21,54,32,-5.650543818
1aid,4.04123617,-12.07554936,4.323730029,-0.696249142,-69.41949973,0,27.27580531,-55.28895021,2,194,0,2,1,0,4,0,0,0,27,7,2,0,123,67,-6.659076089
1aj7,4.276547736,-52.58959428,2.925644012,-8.81780726,-18.84753281,-1.435609794,48.77488246,-35.10052816,8,228,0,2,0,7,20,1,1,0,27,8,3,0,173,41,-5.346602586
1ajn,1.327568951,-0.888239847,-0.403953609,-2.453984342,-20.1208602,-0.784652005,3.524140197,-30.79997003,5,162,0,10,0,3,0,0,1,1,17,3,0,19,76,62,-3.633479277
1ajv,8.846382063,18.39879106,4.642923569,-2.855379604,-59.94521101,-0.799722171,4.008566818,-81.37102431,5,341,0,12,2,2,42,0,0,0,39,12,0,0,99,193,-10.66557415
1ajx,7.40554117,-21.93079375,-1.409086744,-2.388498594,-57.31462906,-0.783113227,39.72059588,-69.0692333,3,321,0,9,2,2,30,0,0,0,47,12,0,0,108,177,-10.92806885
1alw,2.119660329,-30.05700904,2.213768563,-4.422001244,-17.19133692,-0.637493983,28.99600077,-22.35787162,3,113,0,0,0,1,0,0,0,0,19,4,3,108,0,8,-9.007712884
1amw,2.124002332,23.72435868,2.668226069,-8.808729381,-9.585837668,-0.17069575,-15.00978482,-38.41374238,12,225,7,0,1,5,13,0,0,0,7,9,2,85,45,87,-6.272241793
1apb,8.250827228,-43.8672006,0.805997655,-4.869726214,-19.29459181,0,21.15532659,-20.52676785,14,207,0,0,3,4,0,0,0,0,15,4,0,70,1,150,-8.040627145
