PDB,dsx,glide,rf_score,vina,HMScore,Experimental
1E+066,-116.394,-9.2797480003,-7.57,-12.13013,-9.836643517,-13.66353994
10gs,-135.583,-9.9318219187,-8.88,-7.37179,-10.54123456,-8.841926757
1a08,-126.178,-8.9648743762,-8.27,-4.22348,-8.620878588,-7.764316934
1a1b,-123.594,-8.7516456546,-7.96,-4.66979,-8.814295736,-8.841926757
1a30,-116.025,-8.285747865,-9.53,-6.57445,-8.344568377,-5.94066954
1a69,-103.264,-7.4598496374,-7.83,-8.67085,-8.303121845,-7.322220596
1ai5,-65.688,-7.2265340562,-9.83,-7.01979,-7.819578976,-5.139369928
1ajp,-72.225,-7.5716432225,-8.23,-6.35536,-7.211696511,-3.080858854
1ajq,-57.659,-8.7766458805,-8,-5.06761,-6.990648342,-5.95448505
1apw,-177.353,-10.426799049,-11.12,-8.46231,-10.87280681,-11.05240845
1avn,-17.975,-7.8916194458,-5.86,-2.68785,-5.913038519,-5.388049118
1b39,-126.367,-7.4844438971,-7.32,-6.5096,-9.062974926,-9.560333306
1b7h,-209.712,-9.6484632221,-10.28,-7.9995,-10.48597251,-11.08003947
1b8o,-108.13,-10.8568096248,-10.43,-8.38505,-9.090605947,-14.69970323
1b9j,-180.199,-9.8074256379,-10.93,-8.117,-10.22347781,-8.234044293
1bcu,-80.094,-8.5764363275,-6.47,-7.34364,-7.639977339,-4.531487463
1bma,-146.197,-10.6440165597,-7.8,-5.62703,-10.26492434,-6.341319346
1bra,-60.794,-6.2878884731,-7.78,-4.06883,-6.852493237,-2.514422922
1bxo,-183.232,-9.2983942789,-14.52,-11.87348,-12.59974563,-13.81551056
1d09,-81.064,-7.4402707241,-8.01,-7.09793,-7.791947955,-10.45834149
1d7j,-36.014,-5.9430364858,-5.01,-3.16168,-5.982116072,-4.559118484
1det,-85.945,-7.8494286191,-9.33,-5.94258,-7.584715296,-5.94066954
1df8,-103.045,-8.8004221584,-9.93,-6.6856,-8.054442655,-13.40104524
1dhi,-120.035,-9.6625165486,-10.64,-8.24977,-9.394547179,-10.03006067
1e1v,-93.781,-6.8379825429,-6.99,-6.48856,-7.308405085,-6.797231195
1e5a,-16.733,-4.9220797442,-2.19,-2.25156,-7.225512022,-10.55505007
1ela,-155.059,-9.3290042364,-9.19,-7.97656,-10.27873986,-8.786664715
1elb,-101.676,-9.3741468777,-4.23,-5.41564,-9.214945542,-9.878090049
1f4e,-73.11,-8.6537589381,-6.64,-6.5472,-8.220228782,-4.089391125
1f4f,-110.396,-8.3973707979,-9.02,-8.32736,-9.228761053,-6.382765878
1f4g,-153.448,-8.3420163787,-9.51,-9.07296,-9.753750454,-8.952450842
1f5k,-66.442,-6.452526772,-8.99,-5.20772,-6.880124258,-5.167000949
1fcx,-184.697,-11.9265988021,-16.26,-15.57873,-13.98129668,-9.933352091
1fcz,-170.433,-11.3651407512,-15.73,-14.60515,-13.44249177,-12.73790073
1fd0,-184.189,-11.2672284296,-16.39,-16.03525,-14.36813098,-11.60502887
1fh7,-101.078,-7.4976835043,-8.25,-7.13129,-8.137335719,-7.239327532
1fh8,-108.16,-7.5197405555,-7.85,-7.0902,-8.151151229,-9.518886774
1fh9,-104.385,-6.8984919634,-6.76,-8.11814,-8.316937356,-8.883373289
1fkb,-170.998,-8.1768034755,-9.2,-10.60521,-13.05565748,-13.40104524
1fki,-114.271,-8.9185402704,-7.61,-11.45228,-10.66557415,-9.670857391
1fkn,-234.36,-10.7589420171,-14.73,-8.47772,-12.2958044,-12.15764929
1flr,-118.613,-9.4869374726,-10.94,-11.33178,-11.13530151,-13.81551056
1ftm,-92.433,-8.9960350333,-8.27,-7.30018,-8.344568377,-10.51360353
1fzj,-241.819,-8.0985325866,-17.31,-10.1737,-13.8707726,-11.19056355
1fzk,-247.569,-8.177249106,-15.61,-10.96841,-13.81551056,-11.60502887
1g7f,-148.686,-8.2593844389,-7.25,-6.25887,-9.049159415,-7.557084275
1g7q,-181.075,-8.0129740682,-10.64,-8.82199,-10.61031211,-8.372199398
1gni,-139.292,-8.9756472954,-5.29,-7.13315,-9.40836269,-11.15
1gpk,-102.917,-8.9185422291,-9.47,-9.91459,-8.468907972,-7.41892917
1h23,-202.267,-10.1770209505,-12.69,-10.0317,-11.32871866,-11.53595132
1ha2,-105.23,-9.9712897297,-7.25,-9.38686,-9.822828007,-7.65
1hfs,-281.932,-10.9525361973,-13.63,-9.94995,-13.71880198,-12.01949419
1hi4,-99.291,-7.7398061084,-8.66,-6.82675,-8.082073676,-6.203164241
1hk4,-82.346,-7.6440881023,-8.13,-7.87449,-10.5964966,-7.34
1if7,-81.53,-9.415263691,-5.53,-5.32272,-9.1596835,-14.53391711
1is0,-140.462,-8.2728843521,-10.31,-5.39298,-8.938635331,-9.670857391
1j16,-69.288,-6.381947539,-7.41,-5.21943,-7.004463853,-5.305156054
1j17,-166.077,-8.7480825333,-7.33,-10.71152,-9.809012496,-7.211696511
1jaq,-107.804,-7.5769191513,-6.66,-6.18182,-8.441276951,-6.18934873
1jq9,-163.314,-9.0161154065,-7.4,-6.29493,-10.0715072,-11.67410642
1jqd,-160.346,-8.2791141721,-9.9,-8.46691,-8.731402673,-7.128803448
1jys,-53.044,-6.2801999194,-6.9,-4.8367,-6.68670711,-4.863059716
1k4g,-110.021,-8.6020992962,-10.45,-8.88702,-8.703771652,-8.082073676
1k9s,-109.355,-6.9796796429,-9.69,-7.74503,-8.455092461,-9.007712884
1kv1,-128.216,-10.123415162,-9.46,-9.49377,-10.51360353,-8.206413271
1kv5,-44.791,-5.5407236068,-7.87,-2.92901,-7.004463853,-5.830145455
1l2s,-75.661,-8.2838468009,-8.09,-7.00296,-8.537985525,-6.341319346
1lol,-88.407,-6.4509525639,-9.55,-6.67604,-7.543268765,-8.828111247
1loq,-96.257,-6.7956059317,-10.24,-7.19066,-8.717587162,-5.111738906
1m0n,-97.234,-7.4632967608,-8.12,-5.88435,-8.441276951,-3.067043344
1m0q,-96.041,-7.0815423912,-7.73,-5.74194,-7.861025507,-5.374233607
1m2q,-74.761,-8.1707083178,-7.7,-9.20386,-8.841926757,-8.42746144
1mq6,-177.803,-9.8949301622,-8.16,-8.96448,-10.65175864,-15.40429427
1n2v,-83.106,-6.7590084127,-9.45,-7.54523,-7.902472039,-5.636728308
1nc1,-126.114,-9.4520146377,-10.85,-9.73782,-9.007712884,-8.455092461
1ndw,-81.083,-9.1074897805,-8.05,-7.22302,-8.745218183,-7.225512022
1ndy,-90.265,-10.6368857556,-9.16,-7.30388,-9.767565964,-8.524170014
1ndz,-160.597,-9.483673397,-10.84,-10.86651,-11.14911702,-11.20437906
1nfy,-144.728,-10.9440460288,-8.81,-9.6191,-10.15440026,-12.28198889
1nhu,-97.095,-10.1703478329,-5.46,-6.60796,-10.22347781,-7.819578976
1nja,-80.622,-7.3972733803,-6.69,-5.90212,-7.709054891,-8.717587162
1nje,-80.099,-7.5569013727,-8.08,-6.43535,-7.985365103,-5.249894012
1nny,-230.973,-9.3647634057,-14.09,-10.84708,-12.48922154,-10.58268109
1nvq,-175.766,-9.6131635555,-11.42,-12.53099,-11.70173744,-11.39779621
1o0h,-93.428,-6.78365329,-7.36,-6.09239,-7.791947955,-8.17878225
1o3f,-114.298,-7.702240455,-8.58,-8.66683,-8.814295736,-10.9971464
1o3p,-126.003,-9.1164445955,-8.83,-9.0474,-8.66232512,-9.201130032
1ols,-77.282,-7.9841286143,-8.01,-6.83242,-7.68142387,-8.040627145
1olu,-74.412,-7.4211300572,-7.62,-6.09553,-7.557084275,-6.092640156
1om1,-101.844,-10.0499265446,-10.36,-10.53008,-9.850459028,-9.353100648
1p1q,-88.204,-8.767530732,-7.94,-7.30246,-8.234044293,-6.755784663
1pb9,-56.69,-7.815780263,-7.91,-4.90651,-6.990648342,-5.001214822
1pbq,-78.105,-7.2031383298,-9.18,-7.74571,-8.938635331,-8.66232512
1ppm,-182.61,-8.8954626348,-11.82,-8.65787,-11.52213581,-8.012996124
1pr5,-97.633,-7.3422105172,-7.52,-7.32368,-8.040627145,-5.415680139
1pxo,-68.952,-6.4401960311,-8.89,-6.08506,-7.722870402,-12.01949419
1pz5,-169.142,-10.6097166743,-11.5,-6.22445,-8.634694099,-7.460375701
1q7a,-108.963,-8.3998424281,-4.41,-7.86452,-9.463624732,-9.933352091
1q8t,-93.92,-9.756967788,-8.07,-7.38045,-8.330752866,-6.576183026
1re8,-175.368,-9.1644852514,-13.76,-12.42246,-11.95041663,-13.15236605
1rnt,-112.151,-7.6592534585,-11.62,-6.98398,-8.565616546,-7.17024998
1s39,-70.376,-6.8072623018,-9.58,-7.08933,-8.012996124,-10.63794313
1sl3,-187.62,-10.857190112,-11.77,-10.5618,-10.40307945,-16.37138001
1slg,-109.76,-9.2183643226,-9.18,-5.08363,-8.634694099,-5.388049118
1sqa,-136.38,-10.418330321,-9.07,-7.41353,-9.132052479,-12.72408522
1sv3,-56.699,-6.8142040261,-6.08,-4.95407,-7.363667127,-6.548552004
1syh,-117.035,-8.8319472604,-10.53,-9.26436,-8.993897373,-8.717587162
1tmn,-126.828,-9.7373210824,-3.89,-6.33794,-9.864274538,-10.08532271
1trd,-66.698,-6.9930228339,-6.81,-5.06173,-7.43274468,-7.460375701
1tsy,-83.013,-6.8155270784,-8.92,-6.68703,-7.847209997,-6.852493237
1ttm,-64.038,-8.7749056935,-5.24,-6.13409,-8.66232512,-10.15440026
1tyr,-64.602,-6.4461941646,-3.05,-4.54842,-8.123520208,-9.670857391
1u1b,-191.585,-8.7699746571,-10.68,-8.5394,-9.809012496,-10.77609824
1u2y,-40.198,-6.7884596746,-5.26,-5.18957,-6.672891599,-2.403898837
1u33,-127.441,-7.559824812,-6.96,-7.8457,-8.772849204,-6.355134857
1utp,-67.308,-6.5382886152,-6.29,-3.74153,-6.451843431,-1.98943352
1uwt,-76.467,-7.1077183359,-7.03,-6.18,-7.598530807,-8.247859803
1v16,-78.707,-7.6205664256,-6.06,-5.65209,-8.068258166,-5.346602586
1v2o,-125.161,-9.2098487372,-9.17,-6.63248,-8.67614063,-6.534736494
1vfn,-58.091,-6.3581229363,-8.31,-5.98293,-6.990648342,-7.736685912
1vzq,-172.523,-11.6453610706,-10.48,-10.84226,-9.947167602,-10.27873986
1x1z,-96.167,-6.8935334941,-9.52,-7.40617,-8.883373289,-15.27995468
1xd1,-213.25,-7.8479130656,-9.72,-8.65829,-10.55505007,-10.94188436
1xgj,-70.385,-8.1756814846,-7.49,-6.96125,-7.93010306,-8.289306335
1y1m,-70.723,-7.4579308126,-7.25,-5.85725,-7.778132444,-2.514422922
1y6q,-120.766,-10.3948245437,-12.45,-9.02437,-8.800480225,-16.16414735
1ydt,-144.929,-11.1767260167,-10.54,-9.88257,-10.18203128,-10.11295373
1zc9,-64.122,-6.6723520928,-6.82,-5.32021,-6.976832832,-4.4485944
