PDB,dsx,glide,rf_score,vina,HMScore
1f8d,-72.94,-7.99,-6.6830087131,-6.459,-7.529
1igj,-134.523,-7.69,-9.1104540783,-9.3017,-11.05
1jyq,-210.372,-10.92,-8.4797938378,-7.7716,-11.3
1lbk,-101.323,-7.96,-7.5311044121,-5.4891,-7.515
1lor,-90.977,-10.4,-6.9024876116,-7.632,-8.869
1o5b,-77.086,-7.37,-7.1645851597,-5.6611,-8.095
1os0,-135.225,-7.55,-9.7830199946,-8.0265,-10.32
1oyt,-166.288,-12.11,-10.7313840799,-11.241,-10.15
1q8u,-112.436,-10.59,-10.1619002403,-8.9661,-8.98
1sln,-185.774,-8.73,-9.7572437035,-6.9592,-10.11
1w3l,-118.514,-6.2,-8.1796219812,-7.2836,-8.33
1w4o,-108.142,-10.51,-5.7085249953,-6.6107,-8.095
1xd0,-186.348,-9.12,-7.5503722245,-8.9303,-10.29
2cbj,-135.648,-10,-8.0730402069,-9.9269,-9.615
2d3u,-110.275,-9.24,-9.5144793963,-8.9462,-10.03
2fvd,-130.354,-9.37,-10.1372173504,-8.7156,-9.159
2hb1,-86.689,-8.34,-6.8710817937,-5.6006,-7.916
2iwx,-96.653,-9.16,-9.5053607368,-10.702,-9.214
2jdu,-57.684,-4.97,-7.5249557033,-5.9931,-7.446
2obf,-124.288,-12.81,-10.7522572692,-11.113,-10.49
2pq9,-148.844,-10.17,-8.2759572095,-9.1992,-10.95
2pww,-203.233,-11.6,-11.090946469,-11.579,-13.17
2qmj,-121.042,-6.38,-7.8914675655,-7.6703,-8.717
2v7a,-160,-11.9,-10.8358045029,-10.384,-10.49
2vl4,-85.034,-8.92,-7.4257214936,-7.6241,-7.805
2w66,-91.465,-9,-7.0592342381,-7.8083,-8.316
2wbg,-120.715,-7.71,-8.6176399742,-7.5375,-9.173
2weg,-53.09,-6.53,-9.2126862457,-5.5609,-7.501
2x8z,-62.682,-7.22,-9.3231590587,-3.7732,-7.004
2xb8,-131.49,-10.93,-7.4664590948,-10.502,-9.739
2xy9,-173.282,-7.94,-9.4394249586,-7.4816,-10.27
2y5h,-163.357,-10.96,-10.6438589313,-9.199,-9.201
2yki,-185.4,-17.16,-9.990983823,-15.597,-13.35
2ymd,-88.328,-11.24,-7.2457270304,-6.7027,-8.634
2zcr,-101.403,-8.6,-9.2342760894,-8.9284,-10.92
2zjw,-84.141,-8.06,-7.4025208567,-8.7243,-9.104
2zx6,-120.584,-8.89,-9.9570214261,-8.8403,-8.662
3b3s,-41.505,-4.47,-7.63238177,-2.9299,-7.197
3bfu,-86.924,-7.83,-8.5822963468,-7.3083,-7.819
3bpc,-90.402,-6.02,-6.9548969898,-5.1078,-7.059
3cft,-38.442,-4.63,-6.2217627267,-4.0445,-7.28
3cyx,-230.703,-13.45,-11.559598708,-11.685,-13.29
3d4z,-70.801,-7.64,-7.4470069135,-7.1883,-7.639
3ebp,-115.039,-7.88,-8.7539969837,-10.224,-10.41
3ehy,-101.741,-4.16,-7.2174158817,-4.5502,-7.336
3f3e,-81.063,-5.52,-8.0985856689,-6.2264,-8.109
3f80,-57.075,-3.91,-6.7544287301,-5.6691,-6.424
3fv1,-142.038,-9.67,-10.063055676,-9.5412,-9.477
3g0w,-130.888,-11.84,-10.7833044055,-11.633,-10.32
3g2z,-42.72,-6.59,-5.6330025445,-5.8906,-6.7
3gcs,-166.241,-11.44,-11.4548777553,-12.683,-11.41
3ge7,-132.95,-11.9,-10.0316939432,-10.17,-9.643
3gy4,-67.768,-9.15,-6.7670162124,-5.0869,-7.225
3i3b,-53.448,-5.58,-5.4492878461,-6.4966,-7.363
3imc,-76.857,-7.34,-6.3758670251,-5.8341,-7.266
3jvs,-121.704,-4.59,-8.0192221218,-7.6118,-10.27
3myg,-139.238,-9.02,-9.8541973661,-7.8277,-9.712
3nox,-89.113,-6.13,-10.4092375824,-7.5016,-9.38
3nw9,-211.519,-9.66,-11.0361469764,-12.839,-12.04
3su3,-197.858,-9.8,-9.2098034869,-11.449,-11.53
3u9q,-87.993,-5.12,-7.2850400195,-5.2767,-7.778
3udh,-81.544,-8.3,-7.4994340475,-7.3488,-8.054
3uex,-94.944,-2.67,-9.1430871674,-6.0777,-8.648
3zsx,-138.61,-8.84,-9.1482223578,-7.7413,-9.864
