PDB,VINA,GlideSP,GlideXP,DSX,RFScore,MMGbsa,HPS,HMS,HSS,XAvg ,Experimental
1yqj,-12.38448,-11.08,-12.2,-159.255,-9.88565758357,-107.7995912,-11.39779621,-12.19909582,-10.52741905,-11.37016519,-11.24582559
1g54,-6.39968,-6.09,-5.42,-88.449,-10.1734992824,-54.88404946,-7.543268765,-8.109704698,-7.391298149,-7.68142387,-12.18528031
1g53,-6.76869,-6.69,-5.94,-90.997,-9.79902134918,-57.03304534,-7.805763465,-8.634694099,-7.68142387,-8.040627145,-12.48922154
1g52,-6.8083,-7.04,-5.94,-89.464,-10.281793083,-61.65414007,-7.999180613,-8.634694099,-7.778132444,-8.137335719,-13.17999707
1yqy,-8.41868,-5.81,-5.05,-135.444,-8.93724958112,-49.84476831,-9.145867989,-9.17349901,-9.187314521,-9.17349901,-10.52741905
1kc7,-2.9348,-6.53,-5.19,-40.323,-5.03128090271,12.79998816,-6.424212409,-7.087356916,-6.43802792,-6.645260578,-7.626161828
1d7i,-1.72013,-5.37,-2.71,-26.794,-7.86154054263,-38.57807645,-5.774883413,-5.843960966,-5.553835244,-5.733436882,-4.973583801
1ogg,-8.48887,-10.62,-14.98,-149.205,-8.73265290189,-131.6104792,-9.132052479,-9.1596835,-9.132052479,-9.145867989,-7.17024998
1pgp,-5.6944,-7.49,-13.57,-77.592,-6.36571933358,-54.39556897,-7.045910385,-7.446560191,-6.866308747,-7.114987937,-7.874841018
1yc1,-10.65986,-10.13,-10.83,-122.24,-8.95003036411,-91.43935894,-9.712303922,-10.03006067,-9.435993711,-9.726119433,-8.524170014
1a9m,-8.26766,-11.46,-5.93,-207.676,-9.37099260432,-149.6969505,-10.5964966,-10.62412762,-10.7346517,-10.65175864,-9.560333306
1hii,-9.93818,-12.92,-13,-228.709,-9.59165315726,-158.1897536,-11.54976683,-12.66882318,-11.71555295,-11.97804765,-10.05769169
1yc4,-7.95153,-8.89,-8.74,-89.558,-9.74238311589,-69.42180112,-8.399830419,-8.759033694,-8.151151229,-8.441276951,-9.049159416
1hn2,-9.67598,-8.06,-6.88,-91.673,-8.36565379343,-58.75110476,-9.380731669,-9.491255753,-8.579432057,-9.145867989,-8.289306335
2er6,-9.11891,-13.3,-17.68,-254.155,-11.0234960979,-161.4374588,-12.33725093,-13.26289014,-11.56358234,-12.39251297,-9.974798623
1ez9,-5.80204,-8.18,-11.26,-132.535,-7.88520265173,-111.8015803,-7.93010306,-7.722870402,-7.363667127,-7.68142387,-7.045910385
2aoc,-8.13689,-14.37,-12.89,-245.526,-9.48008670701,-202.6480895,-11.28727213,-12.0333097,-11.34253417,-11.56358234,-6.755784663
2hu6,-9.23191,-8.21,-8.49,-148.861,-9.59257192642,-67.69036364,-9.380731669,-9.353100648,-9.17349901,-9.297838606,-5.263709523
2aog,-8.62212,-15.24,-16.64,-258.137,-8.8671050636,-207.8438807,-11.52213581,-12.64119216,-11.52213581,-11.89515459,-8.67614063
1j14,-5.33278,-8.26,-8.31,-70.448,-6.34805624957,-36.29606737,-6.990648342,-7.004463853,-7.280774064,-7.087356916,-6.203164241
