PDB,dsx,glideSP,glideXP,rf_score,vina,MMGbsa,HMScore,HPScore,HSScore,average
1gni,-139.292,-5.29,-12.09,-8.9756472954,-7.13315,-110.4349258,-9.40836269,-9.767565964,-8.468907972,-9.214945542
1ha2,-105.23,-7.25,-7.15,-9.9712897297,-9.38686,-71.17260086,-9.822828007,-9.339285137,-8.855742268,-9.339285137
1hk4,-82.346,-8.13,-9.33,-7.6440881023,-7.87449,-84.99145162,-10.5964966,-8.386014909,-9.311654116,-9.422178201
1nhu,-97.095,-5.46,-8,-10.1703478329,-6.60796,-86.36278418,-10.22347781,-8.42746144,-8.040627145,-8.897188799
2d3u,-109.121,-8.77,-10.97,-9.4880535482,-8.67459,-92.18780801,-9.947167602,-9.380731669,-8.689956141,-9.339285137
2d3z,-109.742,-9.8,-11.29,-9.292050696,-8.80834,-95.25388661,-9.726119433,-9.201130032,-8.731402673,-9.214945542
1ai5,-65.688,-9.83,-10.49,-7.2265340562,-7.01979,-49.75134837,-7.819578976,-7.764316934,-7.239327532,-7.612346317
1ajp,-72.225,-8.23,-4.34,-7.5716432225,-6.35536,-59.60168734,-7.211696511,-7.529453254,-7.17024998,-7.308405085
1ajq,-57.659,-8,-5.83,-8.7766458805,-5.06761,-53.17460553,-6.990648342,-6.949201811,-6.755784663,-6.893939768
1E+066,-116.394,-7.57,-7.25,-9.2797480003,-12.13013,-67.70744524,-9.836643517,-10.0715072,-9.919536581,-9.933352091
1gpk,-102.917,-9.47,-8.64,-8.9185422291,-9.91459,-62.06016302,-8.468907972,-8.717587162,-9.076790437,-8.759033694
1h23,-202.267,-12.69,-14.03,-10.1770209505,-10.0317,-117.3787258,-11.32871866,-11.37016519,-10.48597251,-11.06622396
1b7h,-209.712,-10.28,-14.5,-9.6484632221,-7.9995,-72.15374524,-10.48597251,-10.16821577,-10.18203128,-10.27873986
1b9j,-180.199,-10.93,-15.3,-9.8074256379,-8.117,-72.61261704,-10.22347781,-9.767565964,-9.670857391,-9.89190556
2rkm,-108.449,-5.42,-11.43,-10.1160645355,-6.03311,-53.73483852,-7.626161828,-7.957734081,-7.653792849,-7.750501423
1u2y,-40.198,-5.26,-6.6,-6.7884596746,-5.18957,-37.37196036,-6.672891599,-6.368950367,-6.230795262,-6.424212409
1u33,-127.441,-6.96,-11.85,-7.559824812,-7.8457,-70.0279914,-8.772849204,-8.551801035,-8.234044293,-8.524170014
1xd1,-213.25,-9.72,-19.03,-7.8479130656,-8.65829,-130.9693671,-10.55505007,-10.3340019,-9.781381475,-10.22347781
1uwt,-76.467,-7.03,-10.38,-7.1077183359,-6.18,-45.4071576,-7.598530807,-7.18406549,-7.101172427,-7.294589575
2ceq,-75.358,-8.58,-11.8,-7.5972089264,-6.47563,-77.31951165,-8.040627145,-7.488006722,-7.460375701,-7.66760836
2cer,-117.309,-9.89,-14.26,-9.7953516662,-8.71577,-84.19771015,-9.284023095,-8.759033694,-8.869557778,-8.966266352
2qwb,-67.278,-6.96,-6.74,-6.937654171,-6.10585,-41.64962147,-7.322220596,-7.142618958,-7.377482638,-7.280774064
2qwd,-78.389,-6.85,-6.99,-6.6503001177,-6.45173,-11.67304889,-7.515637744,-7.266958553,-7.501822233,-7.43274468
2qwe,-76.899,-6.69,-8.88,-8.4532097054,-7.16546,-18.04713327,-8.068258166,-7.639977339,-7.612346317,-7.778132444
2cet,-108.949,-8.99,-12.93,-9.7667545335,-8.04194,-51.56435498,-9.325469627,-8.551801035,-8.510354504,-8.800480225
2j77,-73.29,-7.33,-8.68,-7.3784579447,-6.20214,-42.26084956,-7.66760836,-7.128803448,-7.101172427,-7.294589575
2j78,-77.42,-6.66,-9.46,-7.1140230798,-6.4858,-53.50499487,-7.626161828,-7.197881001,-7.101172427,-7.308405085
1m0n,-97.234,-8.12,-7.34,-7.4632967608,-5.88435,-59.10589476,-8.441276951,-8.247859803,-8.551801035,-8.41364593
1m0q,-96.041,-7.73,-7.72,-7.0815423912,-5.74194,-45.46372673,-7.861025507,-7.557084275,-7.584715296,-7.66760836
1zc9,-64.122,-6.82,-6.47,-6.6723520928,-5.32021,-41.80122147,-6.976832832,-6.907755279,-6.9353863,-6.9353863
1fkn,-234.36,-14.73,-14.09,-10.7589420171,-8.47772,-153.1090926,-12.2958044,-11.28727213,-11.89515459,-11.82607704
2fdp,-234.626,-14.78,-17.26,-10.9701313455,-11.22908,-168.9674132,-12.94513339,-11.93660112,-12.18528031,-12.35106644
2g94,-253.143,-14.95,-14.75,-9.9870106411,-10.18772,-197.4474505,-12.80697829,-11.770815,-12.65500767,-12.40632848
1ols,-77.282,-8.01,-11.03,-7.9841286143,-6.83242,-68.41142348,-7.68142387,-7.294589575,-7.308405085,-7.43274468
1olu,-74.412,-7.62,-8.86,-7.4211300572,-6.09553,-90.71124931,-7.557084275,-7.114987937,-7.004463853,-7.225512022
1v16,-78.707,-6.06,-7.96,-7.6205664256,-5.65209,-43.72885145,-8.068258166,-7.598530807,-7.695239381,-7.791947955
1k4g,-110.021,-10.45,-10.57,-8.6020992962,-8.88702,-77.77808972,-8.703771652,-8.330752866,-7.93010306,-8.316937356
1n2v,-83.106,-9.45,-8.67,-6.7590084127,-7.54523,-64.24977085,-7.902472039,-7.557084275,-7.750501423,-7.736685912
1s39,-70.376,-9.58,-8.95,-6.8072623018,-7.08933,-51.81216362,-8.012996124,-7.41892917,-7.294589575,-7.570899786
1kv1,-128.216,-9.46,-9.83,-10.123415162,-9.49377,-97.41024703,-10.51360353,-9.546517796,-9.822828007,-9.960983112
2baj,-153.538,-10.72,-11.15,-10.5595401072,-11.53659,-121.2015707,-11.68792193,-10.69320517,-11.41161172,-11.2596411
2bak,-231.71,-12.63,-13.1,-9.2913803465,-12.63945,-150.8512563,-12.79316278,-12.33725093,-11.70173744,-12.28198889
1ndw,-81.083,-8.05,-8.49,-9.1074897805,-7.22302,-69.46352704,-8.745218183,-8.607063078,-7.847209997,-8.399830419
1ndy,-90.265,-9.16,-9.81,-10.6368857556,-7.30388,-75.81478258,-9.767565964,-8.91100431,-8.399830419,-9.035343905
1ndz,-160.597,-10.84,-11.62,-9.483673397,-10.86651,-100.9247128,-11.14911702,-10.81754477,-10.3340019,-10.76228272
1l2s,-75.661,-8.09,-6.26,-8.2838468009,-7.00296,-53.98893236,-8.537985525,-7.584715296,-7.764316934,-7.957734081
1xgj,-70.385,-7.49,-6.04,-8.1756814846,-6.96125,-51.02266992,-7.93010306,-7.529453254,-7.557084275,-7.66760836
2hdq,-43.941,-7.41,-6.56,-6.3041965669,-4.40153,-42.52500568,-6.92157079,-6.451843431,-6.451843431,-6.603814047
1q8t,-93.92,-8.07,-8.42,-9.756967788,-7.38045,-70.50105618,-8.330752866,-8.330752866,-8.510354504,-8.386014909
1re8,-175.368,-13.76,-16.76,-9.1644852514,-12.42246,-132.2680996,-11.95041663,-11.78463051,-11.35634968,-11.68792193
1ydt,-144.929,-10.54,-12.29,-11.1767260167,-9.88257,-106.930951,-10.18203128,-10.09913822,-9.836643517,-10.04387618
1fzj,-241.819,-17.31,-20.36,-8.0985325866,-10.1737,-202.5233749,-13.8707726,-13.20762809,-12.18528031,-13.0832885
1fzk,-247.569,-15.61,-18.67,-8.177249106,-10.96841,-172.792651,-13.81551056,-13.27670565,-13.17999707,-13.41486075
1g7q,-181.075,-10.64,-14.1,-8.0129740682,-8.82199,-123.0694615,-10.61031211,-9.933352091,-10.22347781,-10.26492434
1m2q,-74.761,-7.7,-7.15,-8.1707083178,-9.20386,-67.17662077,-8.841926757,-8.441276951,-8.095889187,-8.455092461
1om1,-101.844,-10.36,-9.64,-10.0499265446,-10.53008,-74.83475288,-9.850459028,-9.601779838,-8.731402673,-9.394547179
1zoe,-51.271,-5.42,-5.35,-9.0500970281,-5.83721,-87.61689814,-8.703771652,-7.308405085,-7.736685912,-7.91628755
1g7f,-148.686,-7.25,-9.9,-8.2593844389,-6.25887,-84.33729124,-9.049159415,-8.634694099,-8.386014909,-8.689956141
1nny,-230.973,-14.09,-19.68,-9.3647634057,-10.84708,-131.8692907,-12.48922154,-11.6464754,-11.66029091,-11.92278561
2azr,-85.377,-8.28,-13.14,-6.988160229,-6.50895,-73.23192289,-8.275490824,-7.750501423,-7.488006722,-7.833394486
2er9,-268.834,-15.58,-11.25,-10.2179811356,-8.92761,-148.2352873,-13.51156933,-12.15764929,-12.4339595,-12.6964542
4er2,-196.624,-12.36,-14.14,-10.4207039236,-7.56183,-158.3258753,-12.0333097,-10.40307945,-10.77609824,-11.06622396
5er1,-165.328,-9.49,-8.93,-9.7819413542,-6.73207,-129.1123164,-10.23729332,-9.201130032,-9.670857391,-9.698488412
1apw,-177.353,-11.12,-12.49,-10.426799049,-8.46231,-135.9697548,-10.87280681,-9.560333306,-10.16821577,-10.19584679
1bxo,-183.232,-14.52,-9.08,-9.2983942789,-11.87348,-142.4563801,-12.59974563,-11.34253417,-11.61884438,-11.85370806
1ppm,-182.61,-11.82,-7.86,-8.8954626348,-8.65787,-125.8179653,-11.52213581,-10.19584679,-10.14058475,-10.61031211
1nja,-80.622,-6.69,-7.09,-7.3972733803,-5.90212,-42.71451607,-7.709054891,-7.253143043,-7.211696511,-7.391298149
1nje,-80.099,-8.08,-10.04,-7.5569013727,-6.43535,-59.61644192,-7.985365103,-7.363667127,-7.43274468,-7.584715296
1tsy,-83.013,-8.92,-11.3,-6.8155270784,-6.68703,-65.75036485,-7.847209997,-7.294589575,-7.308405085,-7.474191212
1tmn,-126.828,-3.89,-6.87,-9.7373210824,-6.33794,-34.72344595,-9.864274538,-8.593247567,-8.441276951,-8.966266352
